id,name,position_gw1,team_gw1,prob_injury_gw1,xcost_gw1,xmins_gw1,xpts_gw1,position_gw2,team_gw2,prob_injury_gw2,xcost_gw2,xmins_gw2,xpts_gw2,position_gw3,team_gw3,prob_injury_gw3,xcost_gw3,xmins_gw3,xpts_gw3,position_gw4,team_gw4,prob_injury_gw4,xcost_gw4,xmins_gw4,xpts_gw4,total_xmins,total_xpts
355,Greenwood,MID,LEE,0.0,5.0,0.0,0.0,MID,LEE,0.0,4.9,0.0,0.0,MID,LEE,1.0,4.9,0.0,0.0,MID,LEE,1.0,4.9,0.0,0.0,0.0,0.0
356,Gruev,MID,LEE,0.0,5.0,12.0,1.0,MID,LEE,0.0,5.0,90.0,2.0,MID,LEE,0.0,5.0,90.0,3.0,MID,LEE,0.0,4.9,0.0,0.0,192.0,6.0
357,Ramazani,MID,LEE,0.0,5.0,0.0,0.0,MID,LEE,0.0,4.9,0.0,0.0,MID,LEE,1.0,4.9,0.0,0.0,MID,LEE,1.0,4.9,0.0,0.0,0.0,0.0
358,Tanaka,MID,LEE,0.0,5.0,90.0,3.0,MID,LEE,0.25,5.0,57.0,1.0,MID,LEE,1.0,4.9,0.0,0.0,MID,LEE,0.0,4.9,0.0,0.0,147.0,4.0
359,Crew,MID,LEE,1.0,4.5,0.0,0.0,MID,LEE,1.0,4.5,0.0,0.0,MID,LEE,1.0,4.5,0.0,0.0,MID,LEE,1.0,4.5,0.0,0.0,0.0,0.0
360,Gelhardt,MID,LEE,1.0,4.5,0.0,0.0,MID,LEE,1.0,4.5,0.0,0.0,MID,LEE,1.0,4.5,0.0,0.0,MID,LEE,1.0,4.5,0.0,0.0,0.0,0.0
361,Gyabi,MID,LEE,0.0,4.5,0.0,0.0,MID,LEE,0.0,4.5,0.0,0.0,MID,LEE,1.0,4.5,0.0,0.0,MID,LEE,1.0,4.5,0.0,0.0,0.0,0.0
362,Piroe,FWD,LEE,0.0,5.5,77.0,2.0,FWD,LEE,0.0,5.4,57.0,1.0,FWD,LEE,0.0,5.4,0.0,0.0,FWD,LEE,0.25,5.3,0.0,0.0,134.0,3.0
363,Bamford,FWD,LEE,0.0,5.0,0.0,0.0,FWD,LEE,0.0,4.9,0.0,0.0,FWD,LEE,1.0,4.9,0.0,0.0,FWD,LEE,1.0,4.9,0.0,0.0,0.0,0.0
364,Mateo Joseph,FWD,LEE,1.0,5.0,0.0,0.0,FWD,LEE,1.0,5.0,0.0,0.0,FWD,LEE,1.0,5.0,0.0,0.0,FWD,LEE,1.0,5.0,0.0,0.0,0.0,0.0
365,Nmecha,FWD,LEE,0.0,5.0,12.0,5.0,FWD,LEE,0.0,5.0,32.0,1.0,FWD,LEE,0.0,5.0,69.0,2.0,FWD,LEE,0.0,5.0,21.0,1.0,134.0,9.0
366,A.Becker,GKP,LIV,0.0,5.5,90.0,1.0,GKP,LIV,0.0,5.5,90.0,1.0,GKP,LIV,0.0,5.5,90.0,8.0,GKP,LIV,0.0,5.5,90.0,6.0,360.0,16.0
367,Mamardashvili,GKP,LIV,0.0,4.5,0.0,0.0,GKP,LIV,0.0,4.4,0.0,0.0,GKP,LIV,0.0,4.4,0.0,0.0,GKP,LIV,0.0,4.4,0.0,0.0,0.0,0.0
368,Pécsi,GKP,LIV,0.0,4.0,0.0,0.0,GKP,LIV,0.0,4.0,0.0,0.0,GKP,LIV,0.0,4.0,0.0,0.0,GKP,LIV,0.0,4.0,0.0,0.0,0.0,0.0
