name,position,cost,xmins,ep_gw24,ep_gw25,ep_gw26
H.Clarke,DEF,4.0,8,0.3,0.2,0.3
Barnes,MID,5.9,0,0.0,0.0,0.8
Marc Guiu,FWD,4.7,2,0.2,0.3,0.3
Scarles,DEF,4.0,13,0.3,0.2,0.2
Townsend,DEF,3.9,7,0.3,0.1,0.3
Tomiyasu,DEF,4.8,0,0.0,0.3,0.4
J. Ward,DEF,4.3,2,0.1,0.2,0.5
Akinmboni,DEF,4.0,5,0.1,0.2,0.3
Cash,DEF,4.4,0,0.0,0.0,0.6
Kalajdžić,FWD,4.8,0,0.0,0.2,0.4
Kiwior,DEF,4.8,3,0.1,0.4,0.1
Quansah,DEF,3.9,2,0.2,0.2,0.1
Edouard,FWD,5.1,2,0.2,0.2,0.2
Stewart,FWD,4.4,0,0.0,0.2,0.4
Rashford,MID,6.6,0,0.0,0.2,0.3
Acheampong,DEF,4.0,3,0.1,0.2,0.2
C. Taylor,DEF,3.9,8,0.2,0.1,0.1
L. Thomas,DEF,3.9,3,0.1,0.1,0.2
Kelleher,GKP,4.0,0,0.0,0.3,0.2
Rees-Dottin,FWD,4.5,2,0.2,0.0,0.3
Lindelof,DEF,4.3,4,0.1,0.1,0.1
J.Araujo,DEF,4.3,0,0.0,0.0,0.4
Luongo,MID,4.4,2,0.2,0.2,0.1
Cundle,MID,4.5,7,0.4,0.0,0.0
Dasilva,MID,4.8,0,0.0,0.1,0.3
Lallana,MID,5.0,1,0.1,0.1,0.2
J.Cuenca,DEF,4.4,2,0.1,0.1,0.2
Tierney,DEF,4.3,1,0.1,0.2,0.1
Disasi,DEF,4.2,3,0.1,0.2,0.1
Miley,MID,5.0,0,0.0,0.1,0.3
Butler-Oyedeji,FWD,4.5,0,0.0,0.2,0.1
Boly,DEF,4.2,3,0.1,0.1,0.1
Konak,MID,4.4,2,0.1,0.1,0.1
Turner,GKP,3.9,2,0.1,0.2,0.1
Holding,DEF,4.2,3,0.1,0.1,0.2
Dawson,DEF,4.3,6,0.2,0.1,0.1
Okoli,DEF,4.0,3,0.1,0.2,0.1
B.Traore,MID,4.8,0,0.0,0.1,0.2
J.Virginia,GKP,3.9,0,0.0,0.1,0.2
Fletcher,MID,4.5,2,0.2,0.1,0.0
Yang,MID,4.5,4,0.3,0.0,0.0
Reguilón,DEF,4.2,5,0.2,0.1,0.0
B.Badiashile,DEF,4.2,0,0.0,0.0,0.3
Travers,GKP,4.4,0,0.0,0.2,0.1
Johnstone,GKP,4.2,0,0.0,0.1,0.1
Cahill,GKP,3.9,1,0.1,0.1,0.1
Olsen,GKP,4.5,0,0.0,0.2,0.0
Benda,GKP,3.9,0,0.0,0.1,0.2
Toffolo,DEF,4.2,0,0.0,0.1,0.1
Ajayi,MID,4.5,3,0.2,0.0,0.0
Gómez,MID,5.5,3,0.2,0.1,0.0
Milner,MID,5.0,0,0.0,0.0,0.2
Forster,GKP,4.3,1,0.1,0.1,0.0
Krafth,DEF,4.3,0,0.0,0.1,0.1
A. Harris,DEF,4.0,1,0.1,0.1,0.1
Muric,GKP,4.4,2,0.1,0.0,0.1
Ji-soo,DEF,3.9,1,0.0,0.1,0.1
Kinsey,DEF,4.0,3,0.1,0.1,0.0
Olusesi,MID,4.5,2,0.2,0.0,0.0
Bayindir,GKP,4.3,1,0.1,0.1,0.0
Valdimarsson,GKP,3.9,0,0.0,0.1,0.1
McCarthy,GKP,4.3,3,0.1,0.0,0.0
K. Young,MID,4.5,0,0.0,0.2,0.0
Swinkels,DEF,4.0,1,0.0,0.1,0.0
C.Miguel,GKP,4.1,0,0.0,0.1,0.0
Kabia,MID,4.5,0,0.0,0.1,0.0
Casadei,MID,4.4,0,0.0,0.1,0.0
Chilwell,DEF,4.6,1,0.1,0.0,0.0
N. Wood,DEF,4.0,0,0.0,0.0,0.1
Targett,DEF,4.0,0,0.0,0.0,0.1
Silcott-Duberry,MID,4.5,1,0.1,0.0,0.0
Evans,DEF,4.4,0,0.0,0.1,0.0
Mayers,DEF,4.0,1,0.0,0.0,0.1
Casey,DEF,4.0,2,0.1,0.0,0.0
Odysseas,GKP,4.3,1,0.1,0.0,0.0
Setford,GKP,4.5,1,0.1,0.0,0.0
King,DEF,4.0,1,0.1,0.0,0.0
Hardy,DEF,4.0,1,0.1,0.0,0.0
Hennessey,GKP,4.0,0,0.0,0.0,0.0
McConville,DEF,4.0,1,0.0,0.0,0.0
Fábio Vieira,MID,5.4,0,0.0,0.0,0.0
G.Jesus,FWD,6.6,0,0.0,0.0,0.0
Hein,GKP,4.0,0,0.0,0.0,0.0
Saka,MID,10.2,0,0.0,0.0,0.0
Barrenechea,MID,4.9,0,0.0,0.0,0.0
Buendia,MID,5.1,0,0.0,0.0,0.0
Dendoncker,MID,4.5,0,0.0,0.0,0.0
Diaby,MID,6.5,0,0.0,0.0,0.0
Diego Carlos,DEF,4.5,0,0.0,0.0,0.0
Dobbin,MID,5.0,0,0.0,0.0,0.0
Duran,FWD,5.7,0,0.0,0.0,0.0
Gauci,GKP,4.0,0,0.0,0.0,0.0
Iling Jr,MID,5.4,0,0.0,0.0,0.0
Kesler-Hayden,DEF,4.0,0,0.0,0.0,0.0
Marschall,GKP,4.0,0,0.0,0.0,0.0
Pau,DEF,4.2,0,0.0,0.0,0.0
Sinisalo,GKP,4.0,0,0.0,0.0,0.0
Sousa,DEF,4.0,0,0.0,0.0,0.0
Aarons,DEF,4.3,0,0.0,0.0,0.0
Anthony,MID,4.5,0,0.0,0.0,0.0
Enes Ünal,FWD,5.4,0,0.0,0.0,0.0
Faivre,MID,5.0,0,0.0,0.0,0.0
H.Traorè,MID,4.5,0,0.0,0.0,0.0
