name,position,cost,xmins,ep_gw20,ep_gw21,ep_gw22
Vestergaard,DEF,4.0,85,1.5,2.1,2.1
Quansah,DEF,3.9,79,3.6,1.1,1.0
Van den Berg,DEF,4.1,66,2.3,1.8,1.4
Downes,MID,4.8,69,1.5,2.0,2.0
P.M.Sarr,MID,4.8,65,2.2,1.6,1.8
Archer,FWD,5.0,41,2.2,1.8,1.6
Grealish,MID,6.4,34,2.0,1.9,1.6
Merino,MID,6.0,39,1.8,1.8,1.9
Harwood-Bellis,DEF,4.1,90,2.3,1.6,1.5
Ayari,MID,5.0,49,1.6,2.0,1.8
S.Bueno,DEF,4.3,89,2.5,1.5,1.4
Chalobah,DEF,4.4,0,0.0,3.0,2.4
Enes Ünal,FWD,5.4,36,2.3,1.5,1.6
Cajuste,MID,4.5,54,1.6,1.9,1.9
Zirkzee,FWD,6.5,26,1.2,2.3,1.9
Lindstrøm,MID,5.1,44,1.9,1.9,1.5
Bellegarde,MID,4.9,51,2.4,1.5,1.3
O'Shea,DEF,4.1,91,1.7,2.2,1.3
Aarons,DEF,4.3,50,2.2,1.4,1.5
João Félix,MID,6.0,24,1.5,1.6,2.0
Daka,FWD,4.8,29,1.4,1.8,2.0
Bednarek,DEF,4.0,89,2.2,1.5,1.4
Adams,MID,4.9,61,2.0,1.6,1.5
Aribo,MID,4.9,68,2.4,1.4,1.3
Bissouma,MID,4.9,73,2.2,1.3,1.5
Walton,GKP,4.3,50,1.7,1.8,1.6
Enciso,MID,5.4,35,1.7,1.8,1.5
Broja,FWD,5.4,28,1.5,1.5,1.9
Broadhead,MID,4.9,37,1.7,1.8,1.4
Amadou Onana,MID,4.9,48,2.1,1.5,1.3
Nkunku,MID,5.8,18,1.2,1.6,2.1
Morato,DEF,4.5,56,1.8,1.0,2.0
Jota Silva,MID,5.9,24,1.4,1.4,2.0
Dawson,DEF,4.3,85,2.5,1.3,0.9
Ederson M.,GKP,5.3,0,0.0,1.5,3.2
Duran,FWD,5.8,0,0.0,2.7,2.0
H.Clarke,DEF,4.0,71,1.5,2.0,1.2
Walker,DEF,5.2,36,1.7,1.5,1.4
M.Fernandes,MID,5.0,0,0.0,2.3,2.2
R.Gomes,MID,5.2,45,2.1,1.3,1.2
Gruda,MID,5.4,31,1.4,1.7,1.3
Werner,MID,6.2,37,2.0,1.1,1.4
Muric,GKP,4.4,43,1.5,1.4,1.5
Roerslev,DEF,4.3,57,2.3,1.1,0.9
Doherty,DEF,4.3,57,2.0,1.2,1.1
Doyle,MID,4.8,52,2.1,1.2,0.9
Tsimikas,DEF,4.6,32,1.7,1.2,1.3
B.Soumaré,MID,4.4,62,1.5,1.4,1.3
Maatsen,DEF,4.6,37,2.2,1.2,0.8
André,MID,5.0,64,1.6,1.3,1.3
Beto,FWD,4.9,24,1.4,1.6,1.2
Sinisterra,MID,4.8,24,0.7,1.8,1.6
Adingra,MID,5.2,18,1.0,1.7,1.3
Sugawara,DEF,4.3,36,1.4,1.3,1.3
J.Clarke,MID,5.4,27,1.3,1.5,1.2
Willock,MID,4.8,21,1.0,1.3,1.6
Mario Jr.,MID,5.0,45,0.2,1.6,2.1
Hinshelwood,MID,4.9,28,0.9,1.4,1.5
Bree,DEF,3.9,40,1.6,1.1,1.1
De Cordova-Reid,MID,5.2,23,1.1,1.2,1.5
Awoniyi,FWD,5.5,18,1.2,0.8,1.7
Bentancur,MID,4.9,0,0.0,1.8,1.9
Ugochukwu,MID,4.5,56,1.7,0.9,1.0
Ji-soo,DEF,3.9,74,2.4,0.9,0.4
Brooks,MID,4.9,27,1.6,1.2,0.9
Shaw,DEF,4.9,0,0.0,1.9,1.7
