col1,col2,col3,col4,col5,col6,col7,col8,col9
,,,,,,,,
Wharton,,,,,,,,
MD 5.0,,,,,,,,
76,3.2,2.7,3.1,3,76,75,71,73
,,,,,,,,
Branthwaite,,,,,,,,
DF 5.3,,,,,,,,
60,0.9,3.5,3.9,3.7,30,86,86,81
,,,,,,,,
James,,,,,,,,
DF 5.4,,,,,,,,
61,3,3.4,2.2,3.3,61,53,50,54
,,,,,,,,
J.Palhinha,,,,,,,,
MD 5.5,,,,,,,,
79,3.2,3,2.8,2.8,79,78,73,70
,,,,,,,,
Xhaka,,,,,,,,
MD 5.0,,,,,,,,
91,3.4,2.9,3,2.4,91,87,80,73
,,,,,,,,
Dunk,,,,,,,,
DF 4.5,,,,,,,,
87,3.2,2.7,3.4,2.5,87,83,77,73
,,,,,,,,
Ndoye,,,,,,,,
MD 5.9,,,,,,,,
67,2.8,2.6,3.1,3.2,67,65,66,67
,,,,,,,,
Gana,,,,,,,,
MD 5.4,,,,,,,,
82,2.9,3,3,3,82,77,73,74
,,,,,,,,
Cash,,,,,,,,
DF 4.6,,,,,,,,
85,3.2,3,2.2,3.4,85,84,78,76
,,,,,,,,
Krej?�,,,,,,,,
DF 4.5,,,,,,,,
89,3.6,3.7,2.7,1.8,89,82,78,71
,,,,,,,,
Wan-Bissaka,,,,,,,,
DF 4.3,,,,,,,,
81,3.1,2.7,2.6,3.3,81,78,79,75
,,,,,,,,
Mukiele,,,,,,,,
DF 4.0,,,,,,,,
88,3.9,2.4,3.3,2.2,88,85,79,78
,,,,,,,,
Struijk,,,,,,,,
DF 4.5,,,,,,,,
76,3.2,3.4,2.5,2.6,76,72,74,67
,,,,,,,,
Wood,,,,,,,,
FW 7.3,,,,,,,,
62,2.5,2.6,3.1,3.3,47,50,53,56
,,,,,,,,
Alderete,,,,,,,,
DF 4.1,,,,,,,,
75,3,2.5,3.6,2.5,64,86,83,86
,,,,,,,,
Wilson,,,,,,,,
FW 5.9,,,,,,,,
64,3.2,2.8,2.7,2.8,64,62,58,50
,,,,,,,,
Bassey,,,,,,,,
DF 4.5,,,,,,,,
91,2.4,2.4,3.6,2.9,91,85,87,86
,,,,,,,,
M.Fernandes,,,,,,,,
MD 5.5,,,,,,,,
68,2.9,2.7,2.7,3.1,68,68,66,68
,,,,,,,,
Trossard,,,,,,,,
MD 6.9,,,,,,,,
45,2.9,2.8,3,2.6,45,43,44,37
,,,,,,,,
R�ben,,,,,,,,
DF 5.5,,,,,,,,
77,3.6,2.8,2.8,2.1,77,74,67,62
,,,,,,,,
Kamara,,,,,,,,
MD 4.9,,,,,,,,
78,2.8,2.8,2.7,2.8,78,81,81,75
,,,,,,,,
Cullen,,,,,,,,
MD 5.0,,,,,,,,
81,3.1,2.8,2.5,2.8,81,72,71,72
,,,,,,,,
King,,,,,,,,
MD 4.5,,,,,,,,
71,2.7,2.7,3.1,2.6,71,68,62,60
,,,,,,,,
Thiaw,,,,,,,,
DF 4.9,,,,,,,,
73,2.7,3.2,2.8,2.5,73,69,64,63
,,,,,,,,
Elanga,,,,,,,,
MD 6.8,,,,,,,,
52,2.6,3.3,2.8,2.4,52,56,50,44
,,,,,,,,
Welbeck,,,,,,,,
FW 6.3,,,,,,,,
55,3.1,2.6,2.8,2.5,55,49,43,48
,,,,,,,,
Florentino,,,,,,,,
MD 5.0,,,,,,,,
77,2.9,2.9,2.6,2.7,77,78,75,73
,,,,,,,,
Kayode,,,,,,,,
DF 4.5,,,,,,,,
86,3.4,2.3,2.6,2.9,86,81,82,81
,,,,,,,,
De Ligt,,,,,,,,
DF 5.0,,,,,,,,
89,2.3,3.2,2.9,2.6,89,84,77,76
,,,,,,,,
Summerville,,,,,,,,
MD 5.5,,,,,,,,
53,2.7,2.6,2.6,3.1,53,58,57,57
,,,,,,,,
Konsa,,,,,,,,
DF 4.5,,,,,,,,
92,2.9,2.7,2,3.2,92,89,88,87
,,,,,,,,
Marmoush,,,,,,,,
MD 8.3,,,,,,,,
34,2,2.3,3.6,3,26,34,49,46
,,,,,,,,
Grealish,,,,,,,,
MD 6.9,,,,,,,,
0,0,3.6,3.6,3.7,0,77,77,76
,,,,,,,,
Hartman,,,,,,,,
DF 4.0,,,,,,,,
78,3.3,2.9,1.9,2.7,78,76,74,69
,,,,,,,,
Wieffer,,,,,,,,
MD 4.9,,,,,,,,
75,3.2,2.8,2.6,2.2,75,65,55,52
,,,,,,,,
Amad,,,,,,,,
MD 6.3,,,,,,,,
71,2.7,2.9,2.6,2.5,71,64,58,59
,,,,,,,,
Doku,,,,,,,,
MD 6.6,,,,,,,,
56,3.2,2.5,2.8,2.2,56,50,49,43
,,,,,,,,
S.Bueno,,,,,,,,
DF 4.4,,,,,,,,
75,3.1,3.2,2.5,1.8,75,73,71,66
,,,,,,,,
Yarmoliuk,,,,,,,,
MD 5.0,,,,,,,,
77,2.9,2.5,2.6,2.6,77,73,73,71
,,,,,,,,
Botman,,,,,,,,
DF 4.9,,,,,,,,
67,2.7,2.8,2.7,2.4,67,56,57,57
,,,,,,,,
H.Bueno,,,,,,,,
DF 4.4,,,,,,,,
70,3.1,3.3,2.5,1.7,70,68,68,64
,,,,,,,,
Munetsi,,,,,,,,
MD 5.4,,,,,,,,
72,3,2.9,2.4,2.3,72,64,62,66
,,,,,,,,
Johnstone,,,,,,,,
GK 4.5,,,,,,,,
79,3,3.1,2.5,2.1,79,76,70,68
,,,,,,,,
Okafor,,,,,,,,
MD 5.5,,,,,,,,
54,2.1,3.5,2.4,2.6,41,62,53,54
,,,,,,,,
Zinchenko,,,,,,,,
DF 4.9,,,,,,,,
77,2.5,2.2,2.7,3.1,77,74,73,72
,,,,,,,,
Walker,,,,,,,,
DF 4.4,,,,,,,,
88,3.2,2.8,1.8,2.7,88,87,82,84
,,,,,,,,
Hume,,,,,,,,
DF 4.5,,,,,,,,
85,3.7,2,2.9,1.9,85,77,73,73
,,,,,,,,
Berge,,,,,,,,
MD 4.9,,,,,,,,
86,2.6,2.6,2.8,2.4,86,85,79,74
,,,,,,,,
N.Williams,,,,,,,,
DF 4.8,,,,,,,,
91,3,2,2.6,2.8,91,63,67,63
,,,,,,,,
Fofana,,,,,,,,
DF 4.4,,,,,,,,
40,1.7,3.3,2.2,3.1,40,63,58,63
,,,,,,,,
Frimpong,,,,,,,,
DF 5.8,,,,,,,,
36,2,2.4,3.5,2.4,36,48,66,64
,,,,,,,,
A�t-Nouri,,,,,,,,
DF 5.8,,,,,,,,
36,1.5,2.5,3.4,2.8,27,56,66,69
,,,,,,,,
Ekitik�,,,,,,,,
FW 8.7,,,,,,,,
38,2.7,2.5,2.7,2.3,38,39,39,43
,,,,,,,,
Kerkez,,,,,,,,
DF 5.8,,,,,,,,
61,2.9,2.5,2.8,1.9,61,56,56,56
,,,,,,,,
Longstaff,,,,,,,,
MD 4.9,,,,,,,,
70,2.7,2.8,2.2,2.4,70,67,64,65
,,,,,,,,
Tosin,,,,,,,,
DF 4.4,,,,,,,,
62,2.7,2.6,2.1,2.7,62,49,53,51
,,,,,,,,
Andr�,,,,,,,,
MD 5.4,,,,,,,,
69,2.6,2.7,2.5,2.3,69,69,69,66
,,,,,,,,
Henderson,,,,,,,,
MD 5.0,,,,,,,,
71,2.7,2.4,2.5,2.5,71,70,71,70
,,,,,,,,
Foster,,,,,,,,
FW 5.0,,,,,,,,
53,2.1,2.8,2.3,2.7,40,62,59,58
,,,,,,,,
Kamada,,,,,,,,
MD 5.0,,,,,,,,
56,2.7,2,2.7,2.6,56,54,54,55
,,,,,,,,
Adams,,,,,,,,
MD 5.0,,,,,,,,
78,2.9,2.8,2.1,2.2,78,71,60,59
,,,,,,,,
Bentancur,,,,,,,,
MD 5.3,,,,,,,,
70,2.7,2.3,2.5,2.3,70,61,66,59
,,,,,,,,
McGinn,,,,,,,,
MD 5.4,,,,,,,,
57,2.4,2.4,2.4,2.7,57,57,63,56
,,,,,,,,
Scott,,,,,,,,
MD 5.0,,,,,,,,
61,2.6,2.9,2.1,2.2,61,57,53,49
,,,,,,,,
Casemiro,,,,,,,,
MD 5.5,,,,,,,,
50,2,2.6,2.8,2.4,50,58,63,56
,,,,,,,,
Gomez,,,,,,,,
MD 4.9,,,,,,,,
61,2.1,2.6,2.9,2.1,46,56,57,46
,,,,,,,,
Digne,,,,,,,,
DF 4.5,,,,,,,,
66,2.6,2.4,1.8,3,66,63,65,64
,,,,,,,,
Bernardo,,,,,,,,
MD 6.3,,,,,,,,
63,3,2.4,2.3,2,63,58,48,48
,,,,,,,,
Sessegnon,,,,,,,,
MD 5.4,,,,,,,,
71,2.7,2.6,2.5,1.9,71,67,56,43
,,,,,,,,
Merino,,,,,,,,
MD 5.9,,,,,,,,
41,2.2,2.4,2.6,2.5,41,43,46,43
,,,,,,,,
Beto,,,,,,,,
FW 5.3,,,,,,,,
50,2.1,2.5,2.4,2.6,50,47,45,48
,,,,,,,,
Sch�r,,,,,,,,
DF 5.4,,,,,,,,
49,2,2.6,2.8,2.3,49,51,57,53
,,,,,,,,
Talbi,,,,,,,,
MD 5.0,,,,,,,,
63,3,2.2,2.5,2,63,58,57,54
,,,,,,,,
Barry,,,,,,,,
FW 5.7,,,,,,,,
50,2.1,2.6,2.4,2.5,50,51,47,48
,,,,,,,,
Sou?ek,,,,,,,,
MD 5.7,,,,,,,,
55,2.4,2.2,2.3,2.7,55,56,55,58
,,,,,,,,
Richarlison,,,,,,,,
FW 6.7,,,,,,,,
52,3,2.8,2,1.7,52,52,35,25
,,,,,,,,
Tchatchoua,,,,,,,,
DF 4.5,,,,,,,,
74,2.9,3,2.1,1.3,74,67,65,56
,,,,,,,,
Malen,,,,,,,,
MD 5.1,,,,,,,,
51,2.6,2.5,2.2,2,51,49,48,33
,,,,,,,,
Sadiki,,,,,,,,
MD 5.0,,,,,,,,
78,2,2.5,2.6,2.2,59,87,80,76
,,,,,,,,
Douglas Luiz,,,,,,,,
MD 5.0,,,,,,,,
58,2.3,2.3,2.4,2.2,58,58,58,51
,,,,,,,,
Udogie,,,,,,,,
DF 4.4,,,,,,,,
61,2.5,2.3,2.1,2.3,61,61,59,57
,,,,,,,,
Bakwa,,,,,,,,
MD 6.0,,,,,,,,
49,2.2,2.1,2.4,2.5,49,49,51,52
,,,,,,,,
Kevin,,,,,,,,
MD 6.0,,,,,,,,
60,2.4,2.3,2.4,1.9,60,52,44,41
,,,,,,,,
Odobert,,,,,,,,
MD 5.3,,,,,,,,
50,2.6,2.3,2.1,2,50,47,41,35
,,,,,,,,
Matheus N.,,,,,,,,
DF 5.3,,,,,,,,
56,2.9,1.9,2.4,1.8,56,45,51,50
,,,,,,,,
Yoro,,,,,,,,
DF 4.5,,,,,,,,
76,1.8,2.7,2.4,2,76,75,66,64
,,,,,,,,
Baleba,,,,,,,,
MD 4.8,,,,,,,,
67,2.6,2.3,2.3,1.8,67,61,54,46
,,,,,,,,
Tete,,,,,,,,
DF 4.5,,,,,,,,
42,0.7,1.3,3.8,3.1,21,38,76,77
,,,,,,,,
Ra�l,,,,,,,,
FW 6.2,,,,,,,,
40,1,2,3.7,2.2,20,42,60,42
,,,,,,,,
Igor Jesus,,,,,,,,
FW 5.8,,,,,,,,
48,2.3,2.1,2.1,2.3,48,45,38,43
,,,,,,,,
Onana,,,,,,,,
MD 4.8,,,,,,,,
41,1.6,2.2,2.4,2.6,41,57,67,65
,,,,,,,,
Aaronson,,,,,,,,
MD 5.4,,,,,,,,
70,3.3,2.5,1.5,1.5,70,47,31,30
,,,,,,,,
Laurent,,,,,,,,
MD 4.9,,,,,,,,
56,2.1,2.2,2.1,2.3,56,60,62,62
,,,,,,,,
Hee Chan,,,,,,,,
MD 5.9,,,,,,,,
38,1.7,2.7,2.1,2.1,29,44,42,47
,,,,,,,,
Bruun Larsen,,,,,,,,
MD 5.3,,,,,,,,
46,2.5,2.1,1.9,2.1,46,41,45,40
,,,,,,,,
O�Reilly,,,,,,,,
DF 4.9,,,,,,,,
69,3.7,2.2,1.4,1.3,69,50,28,31
,,,,,,,,
N.Gonzalez,,,,,,,,
MD 5.9,,,,,,,,
69,2.8,2.3,2.1,1.3,69,62,51,34
,,,,,,,,
Dalot,,,,,,,,
DF 4.4,,,,,,,,
