name,position,cost,xmins_gw4,xmins_gw5,xmins_gw6,xmins_gw7,xpts_gw4,xpts_gw5,xpts_gw6,xpts_gw7
Ndoye,MID,6.1,58,57,52,50,2.3,2.9,3.2,2.2
Yarmoliuk,MID,5.0,76,73,71,65,2.8,2.7,2.7,2.3
Okafor,MID,5.5,51,49,52,57,2.4,2.5,2.7,2.9
Estêvão,MID,6.5,42,61,57,50,2.2,2.9,3.0,2.3
Christie,MID,5.0,47,64,56,60,2.2,2.9,2.5,2.8
Diouf,DEF,4.5,84,82,78,79,3.1,3.0,2.6,1.7
Cullen,MID,5.0,81,78,69,71,2.7,2.9,2.3,2.4
André,MID,5.5,80,75,72,75,2.6,2.7,2.4,2.6
Digne,DEF,4.5,57,49,49,49,2.3,2.6,2.5,2.8
Hannibal,MID,5.0,67,67,62,62,2.5,2.9,2.2,2.4
Berge,MID,5.0,77,75,72,73,2.7,2.6,2.3,2.4
Adams,MID,5.0,86,68,57,50,3.3,2.6,2.2,2.0
Bruun Larsen,MID,5.4,57,53,52,56,2.5,2.8,2.2,2.5
Talbi,MID,5.0,70,67,64,59,2.6,2.7,2.4,2.2
Foster,FWD,5.0,64,60,56,53,2.6,2.8,2.2,2.3
Alderete,DEF,4.0,81,77,72,58,2.7,2.8,2.5,1.8
Sadiki,MID,5.0,82,78,79,78,2.5,2.5,2.5,2.4
Souček,MID,5.8,68,62,64,63,2.7,2.5,2.4,2.1
Bentancur,MID,5.4,69,62,57,60,2.6,2.3,2.4,2.3
Mukiele,DEF,4.0,82,80,75,68,2.5,2.7,2.5,2.0
Baleba,MID,4.9,61,61,63,61,2.4,2.5,2.3,2.5
Isak,FWD,10.4,10,28,49,74,0.8,2.1,2.9,3.8
Adingra,MID,5.5,61,64,60,57,2.4,2.7,2.3,2.2
Adli,MID,5.5,42,43,48,47,2.2,2.3,2.4,2.6
Gnonto,MID,5.4,58,48,48,46,2.5,2.3,2.4,2.3
Ekdal,DEF,4.0,81,78,74,67,2.2,3.1,2.0,2.2
B. Johnson,MID,7.1,51,42,40,35,2.8,2.1,2.6,1.9
A.Jimenez,DEF,4.5,61,63,59,46,2.5,2.5,2.4,2.1
Raúl,FWD,6.4,35,36,44,41,2.4,2.4,2.3,2.3
Darlow,GKP,4.0,91,89,59,19,3.1,3.4,2.2,0.7
Ampadu,MID,4.9,53,74,73,70,1.8,2.6,2.6,2.4
Spence,DEF,4.5,70,61,58,58,2.6,1.9,2.7,2.1
Wieffer,MID,5.0,45,59,65,58,1.9,2.5,2.5,2.4
Savinho,MID,6.9,38,39,44,37,2.3,1.8,3.0,2.2
Savona,DEF,4.5,86,61,59,63,1.8,2.5,3.0,1.9
Kayode,DEF,4.5,71,71,69,63,2.3,2.4,2.5,1.9
J.Palhinha,MID,5.5,59,60,61,56,2.2,2.2,2.5,2.1
J. Henderson,MID,5.0,64,61,55,60,2.4,2.3,2.2,2.2
Hartman,DEF,4.0,81,80,75,69,2.0,3.2,1.8,2.1
Maatsen,DEF,4.4,45,44,48,45,1.8,2.3,2.3,2.5
Ayari,MID,4.9,52,54,51,54,2.2,2.4,2.0,2.4
Hughes,MID,4.9,65,59,50,41,3.1,2.3,1.9,1.6
Reinildo,DEF,4.0,78,78,81,74,2.1,2.4,2.4,2.0
Lewis-Potter,DEF,5.0,67,63,63,55,2.3,2.2,2.4,1.8
Malen,MID,5.3,48,38,29,28,2.5,2.4,1.9,2.0
Gittens,MID,6.3,58,36,31,30,3.2,2.0,1.9,1.6
Krejčí,DEF,4.5,53,65,78,73,1.4,2.6,2.2,2.4
Gusto,DEF,5.0,61,49,49,48,2.7,1.9,2.3,1.7
H. Wilson,MID,5.4,46,36,37,34,2.7,2.1,1.9,1.8
