name,position,cost,xmins,ep_gw1,ep_gw2,ep_gw3,ep_gw4,ep_gw5
Hannibal,MID,5.0,65,2.6,3.2,2.5,2.3,2.5
Tete,DEF,4.5,71,2.6,3.0,1.9,2.9,2.7
Dúbravka,GKP,4.0,42,1.4,2.7,2.9,2.7,3.3
Garner,MID,5.0,77,2.9,2.8,2.6,2.6,2.2
Foden,MID,8.0,28,1.4,2.8,3.0,3.2,2.4
Gudmundsson,DEF,4.0,83,3.6,1.7,2.5,2.4,2.7
Bernardo,MID,6.5,70,3.1,2.9,2.5,2.6,1.7
Amad,MID,6.5,60,2.6,2.6,3.1,2.1,2.5
Talbi,MID,5.0,66,2.9,2.6,2.5,2.4,2.4
P.M.Sarr,MID,5.0,63,3.0,2.1,2.6,2.5,2.4
Walker,DEF,4.5,87,2.3,3.8,2.2,1.7,2.6
H. Barnes,MID,6.5,57,3.0,2.5,2.9,2.1,2.0
Henry,DEF,4.5,72,2.5,2.6,3.3,2.1,2.1
Hartman,DEF,4.0,74,2.3,3.8,2.2,1.7,2.3
Berge,MID,5.0,69,2.3,2.7,2.4,2.5,2.6
Ballard,DEF,4.5,90,3.0,2.8,2.6,2.1,2.0
Mykolenko,DEF,5.0,60,1.7,3.2,3.0,2.8,1.7
Chalobah,DEF,5.0,74,3.2,2.6,2.7,1.9,1.8
J.Palhinha,MID,5.5,65,2.6,2.3,2.6,2.4,2.4
Gravenberch,MID,5.5,0,0.0,2.9,2.9,3.2,3.2
Barry,FWD,6.0,49,2.4,2.8,2.5,2.5,2.1
Dunk,DEF,4.5,70,2.9,2.7,1.9,2.2,2.4
Piroe,FWD,5.5,66,3.3,2.1,2.4,2.0,2.1
Bogle,DEF,4.5,72,2.3,1.8,2.7,2.5,2.7
Kluivert,MID,7.0,0,0.0,1.3,3.1,3.9,3.7
Yoro,DEF,4.5,77,2.3,2.6,3.3,1.8,2.0
Gittens,MID,6.5,44,2.7,2.5,2.3,2.4,2.1
Doherty,DEF,4.5,70,2.1,2.3,2.8,1.9,2.7
Martinelli,MID,7.0,53,3.0,3.1,1.8,2.0,2.0
Ndoye,MID,6.0,59,3.0,2.1,2.5,1.8,2.4
Mayenda,FWD,5.5,69,3.2,2.5,2.1,1.8,2.0
Gündoğan,MID,6.5,56,2.7,2.8,2.1,2.3,1.7
Adams,MID,5.0,86,3.0,3.2,2.0,1.7,1.7
N.Jackson,FWD,6.5,0,0.0,2.8,3.2,2.7,2.8
Andreas,MID,5.5,34,1.7,2.3,2.1,2.5,2.8
Munetsi,MID,5.5,45,1.9,2.0,2.6,2.2,2.7
Gnonto,MID,5.5,52,2.6,1.8,2.4,2.3,2.2
Alcaraz,MID,5.5,47,2.3,2.5,2.3,2.4,1.9
Beto,FWD,5.5,47,2.4,2.5,2.3,2.3,1.8
Ugochukwu,MID,5.0,52,1.8,2.8,2.3,2.2,2.2
Tosin,DEF,4.5,67,3.0,2.4,2.4,1.7,1.7
Richarlison,FWD,6.5,47,3.0,1.9,2.2,2.1,2.1
Lewis-Potter,DEF,5.0,64,2.7,2.1,2.7,1.9,1.8
Doku,MID,6.5,43,2.5,2.7,2.0,2.2,1.9
J. Henderson,MID,5.0,54,2.2,2.4,2.3,2.0,2.2
Sadiki,MID,5.0,64,2.4,2.1,2.2,2.1,2.2
Yarmoliuk,MID,5.0,64,2.4,2.4,2.2,2.0,2.0
Carvalho,MID,5.0,63,3.1,2.3,2.3,1.8,1.6
Digne,DEF,4.5,47,2.1,1.9,2.4,2.0,2.6
Kayode,DEF,4.5,66,2.4,2.2,2.7,1.7,1.8
Cherki,MID,6.5,40,2.5,2.5,1.9,2.3,1.8
Reinildo,DEF,4.0,78,2.5,2.3,2.2,1.8,1.9
B. Johnson,MID,7.0,39,2.5,1.8,2.2,2.2,2.0
Tanaka,MID,5.0,69,2.5,2.0,2.1,2.0,2.2
J.Timber,DEF,5.5,44,1.8,2.6,1.5,2.7,2.2
Maatsen,DEF,4.5,45,2.0,1.7,2.2,2.1,2.6
Havertz,FWD,7.5,34,2.0,2.8,1.8,2.1,1.9
Smith Rowe,MID,6.0,41,1.9,2.3,1.9,2.3,2.2
Jensen,MID,5.0,56,2.4,2.4,2.4,1.8,1.7
McNeil,MID,6.0,49,2.3,2.3,2.0,2.1,1.9
B. White,DEF,5.5,57,2.4,2.7,1.4,2.2,1.8
Sangaré,MID,5.0,54,2.2,2.0,2.1,2.0,2.2
Alderete,DEF,4.0,17,0.6,3.0,2.9,2.0,2.0
Dalot,DEF,4.5,64,1.9,2.1,3.0,1.5,1.9
Sessegnon,MID,5.5,54,1.7,2.8,2.2,1.8,1.8
Isak,FWD,10.5,0,0.0,0.0,0.0,5.7,4.6
E.Le Fée,MID,5.0,48,2.1,2.0,2.0,2.0,2.1
Ampadu,MID,5.0,69,2.4,1.9,2.0,2.0,1.9
